size	16
T	4
J	1
H	0
step-init_step	E	m
8580	-0.335938	0.109375
8590	-0.359375	0.125
8600	-0.359375	0.15625
8610	-0.335938	0.164062
8620	-0.3125	0.15625
8630	-0.320312	0.15625
8640	-0.328125	0.1875
8650	-0.304688	0.1875
8660	-0.320312	0.171875
8670	-0.328125	0.164062
8680	-0.328125	0.140625
8690	-0.34375	0.140625
8700	-0.34375	0.15625
8710	-0.3125	0.1875
8720	-0.328125	0.242188
8730	-0.328125	0.226562
8740	-0.328125	0.210938
8750	-0.328125	0.203125
8760	-0.320312	0.1875
8770	-0.335938	0.1875
8780	-0.328125	0.179688
8790	-0.328125	0.1875
8800	-0.296875	0.15625
8810	-0.296875	0.140625
8820	-0.28125	0.148438
8830	-0.257812	0.140625
8840	-0.28125	0.164062
8850	-0.28125	0.148438
8860	-0.28125	0.15625
8870	-0.273438	0.140625
8880	-0.265625	0.125
8890	-0.257812	0.117188
8900	-0.25	0.125
8910	-0.234375	0.148438
8920	-0.25	0.164062
8930	-0.234375	0.140625
8940	-0.234375	0.15625
8950	-0.234375	0.164062
8960	-0.203125	0.117188
8970	-0.203125	0.15625
8980	-0.203125	0.140625
8990	-0.21875	0.125
9000	-0.210938	0.101562
9010	-0.203125	0.0703125
9020	-0.171875	0.101562
9030	-0.195312	0.101562
9040	-0.203125	0.109375
9050	-0.179688	0.117188
9060	-0.15625	0.125
9070	-0.164062	0.132812
9080	-0.164062	0.101562
9090	-0.171875	0.125
9100	-0.195312	0.140625
9110	-0.171875	0.195312
9120	-0.203125	0.195312
9130	-0.195312	0.179688
9140	-0.226562	0.21875
9150	-0.242188	0.234375
9160	-0.28125	0.265625
9170	-0.289062	0.242188
9180	-0.320312	0.226562
9190	-0.328125	0.234375
9200	-0.320312	0.234375
9210	-0.296875	0.210938
9220	-0.296875	0.242188
9230	-0.273438	0.226562
9240	-0.25	0.226562
9250	-0.25	0.234375
9260	-0.273438	0.242188
9270	-0.289062	0.234375
9280	-0.304688	0.203125
9290	-0.3125	0.210938
9300	-0.296875	0.148438
9310	-0.320312	0.179688
9320	-0.320312	0.179688
9330	-0.320312	0.1875
9340	-0.3125	0.171875
9350	-0.304688	0.171875
9360	-0.328125	0.179688
9370	-0.289062	0.179688
9380	-0.289062	0.171875
9390	-0.289062	0.15625
9400	-0.257812	0.132812
9410	-0.265625	0.164062
9420	-0.265625	0.148438
9430	-0.257812	0.132812
9440	-0.242188	0.109375
9450	-0.234375	0.117188
9460	-0.203125	0.132812
9470	-0.195312	0.109375
9480	-0.21875	0.078125
9490	-0.195312	0.0703125
9500	-0.21875	0.0703125
9510	-0.195312	0.0703125
9520	-0.171875	0.0703125
9530	-0.140625	0.0703125
9540	-0.15625	0.0625
9550	-0.1875	0.0703125
9560	-0.210938	0.0703125
9570	-0.210938	0.0546875
9580	-0.21875	0.03125
9590	-0.21875	0.0546875
9600	-0.203125	0.015625
9610	-0.21875	0
9620	-0.210938	0
9630	-0.195312	-0.015625
9640	-0.21875	0.015625
9650	-0.226562	-0.046875
9660	-0.234375	-0.0390625
9670	-0.21875	-0.046875
9680	-0.203125	-0.03125
9690	-0.21875	-0.0234375
9700	-0.21875	-0.0234375
9710	-0.21875	-0.03125
9720	-0.21875	-0.0703125
9730	-0.234375	-0.0703125
9740	-0.226562	-0.078125
9750	-0.25	-0.09375
9760	-0.25	-0.101562
9770	-0.242188	-0.101562
9780	-0.25	-0.125
9790	-0.273438	-0.132812
9800	-0.273438	-0.15625
9810	-0.273438	-0.15625
9820	-0.25	-0.15625
9830	-0.242188	-0.179688
9840	-0.242188	-0.179688
9850	-0.234375	-0.164062
9860	-0.210938	-0.164062
